"State","Year","SMD","MMD-Post","MMD-FFA","MMD-AY-1PY","MMD-AY-Posts","MMD-AY-FFA","FD-SMD","FFD-MMD-Posts","FFD-MMD-FFA","MMD-Cumulative"
"GA",1982,1,1,0,0,0,0,1,0,0,0
"HI",1982,1,0,0,0,0,0,0,0,0,0
"ID",1982,0,1,0,0,0,0,0,0,0,0
"IL",1982,1,0,0,0,0,0,0,0,0,0
"IN",1982,1,0,1,0,0,0,0,0,0,0
"IA",1982,1,0,0,0,0,0,0,0,0,0
"KS",1982,1,0,0,0,0,0,0,0,0,0
"ME",1982,1,0,0,0,0,0,0,0,0,0
"MD",1982,1,0,1,0,0,0,0,0,0,0
"MA",1982,1,0,0,0,0,0,0,0,0,0
"MI",1982,1,0,0,0,0,0,0,0,0,0
"MN",1982,1,0,0,0,0,0,0,0,0,0
"MO",1982,1,0,0,0,0,0,0,0,0,0
"MT",1982,1,0,0,0,0,0,0,0,0,0
"NV",1982,1,0,0,0,0,0,0,0,0,0
"NH",1982,1,0,1,0,0,0,1,0,1,0
"NM",1982,1,0,0,0,0,0,0,0,0,0
"NY",1982,1,0,0,0,0,0,0,0,0,0
"NC",1982,1,0,1,0,0,0,0,0,0,0
"ND",1982,0,0,1,0,0,0,0,0,0,0
"OH",1982,1,0,0,0,0,0,0,0,0,0
"OK",1982,1,0,0,0,0,0,0,0,0,0
"OR",1982,1,0,0,0,0,0,0,0,0,0
"PA",1982,1,0,0,0,0,0,0,0,0,0
"RI",1982,1,0,0,0,0,0,0,0,0,0
"SC",1982,1,0,0,0,0,0,0,0,0,0
"SD",1982,0,0,1,0,0,0,0,0,0,0
"TN",1982,1,0,0,0,0,0,0,0,0,0
"TX",1982,1,0,0,0,0,0,0,0,0,0
"UT",1982,1,0,0,0,0,0,0,0,0,0
"VA",1982,1,0,0,0,0,0,0,0,0,0
"WA",1982,1,1,0,0,0,0,0,0,0,0
"WV",1982,1,0,1,0,0,0,0,0,0,0
"WI",1982,1,0,0,0,0,0,0,0,0,0
"WY",1982,1,0,1,0,0,0,0,0,0,0
"AL",1983,1,0,0,0,0,0,0,0,0,0
"LA",1983,1,0,0,0,0,0,0,0,0,0
"MA",1983,1,0,0,0,0,0,0,0,0,0
"MS",1983,1,0,0,0,0,0,0,0,0,0
"MO",1983,1,0,0,0,0,0,0,0,0,0
"NJ",1983,0,0,1,0,0,0,0,0,0,0
"SC",1983,1,0,0,0,0,0,0,0,0,0
"VA",1983,1,0,0,0,0,0,0,0,0,0
"AL",1986,1,0,0,0,0,0,0,0,0,0
"AK",1986,1,1,0,0,0,0,0,0,0,0
"AZ",1986,0,0,1,0,0,0,0,0,0,0
"AR",1986,1,1,0,0,0,0,0,0,0,0
"CA",1986,1,0,0,0,0,0,0,0,0,0
"CO",1986,1,0,0,0,0,0,0,0,0,0
"CT",1986,1,0,0,0,0,0,0,0,0,0
"DE",1986,1,0,0,0,0,0,0,0,0,0
"FL",1986,1,0,0,0,0,0,0,0,0,0
"GA",1986,1,1,0,0,0,0,1,0,0,0
"HI",1986,1,0,0,0,0,0,0,0,0,0
"ID",1986,0,1,0,0,0,0,0,1,0,0
"IL",1986,1,0,0,0,0,0,0,0,0,0
"IN",1986,1,0,1,0,0,0,0,0,0,0
"IA",1986,1,0,0,0,0,0,0,0,0,0
"KS",1986,1,0,0,0,0,0,0,0,0,0
"KY",1986,1,0,0,0,0,0,0,0,0,0
"ME",1986,1,0,0,0,0,0,0,0,0,0
"MD",1986,1,0,1,0,0,0,0,0,0,0
"MA",1986,1,0,0,0,0,0,0,0,0,0
"MI",1986,1,0,0,0,0,0,0,0,0,0
"MN",1986,1,0,0,0,0,0,0,0,0,0
"MO",1986,1,0,0,0,0,0,0,0,0,0
"MT",1986,1,0,0,0,0,0,0,0,0,0
"NV",1986,1,0,0,0,0,0,0,0,0,0
"NH",1986,1,0,1,0,0,0,1,0,1,0
"NM",1986,1,0,0,0,0,0,0,0,0,0
"NY",1986,1,0,0,0,0,0,0,0,0,0
"NC",1986,1,0,1,0,0,0,0,0,0,0
"ND",1986,0,0,1,0,0,0,0,0,0,0
"OH",1986,1,0,0,0,0,0,0,0,0,0
"OK",1986,1,0,0,0,0,0,0,0,0,0
"OR",1986,1,0,0,0,0,0,0,0,0,0
"PA",1986,1,0,0,0,0,0,0,0,0,0
"RI",1986,1,0,0,0,0,0,0,0,0,0
"SC",1986,1,0,0,0,0,0,0,0,0,0
"SD",1986,0,0,1,0,0,0,0,0,0,0
"TN",1986,1,0,0,0,0,0,0,0,0,0
"TX",1986,1,0,0,0,0,0,0,0,0,0
"UT",1986,1,0,0,0,0,0,0,0,0,0
"VT",1986,1,0,1,0,0,0,0,0,0,0
"VA",1986,1,0,0,0,0,0,0,0,0,0
"WA",1986,1,1,0,0,0,0,0,0,0,0
"WV",1986,1,0,1,0,0,0,0,0,0,0
"WI",1986,1,0,0,0,0,0,0,0,0,0
"WY",1986,1,0,1,0,0,0,0,0,0,0
"AL",1990,1,0,0,0,0,0,0,0,0,0
"AK",1990,1,1,0,0,0,0,0,0,0,0
"AZ",1990,0,0,1,0,0,0,0,0,0,0
"AR",1990,1,1,0,0,0,0,0,0,0,0
"CA",1990,1,0,0,0,0,0,0,0,0,0
"CO",1990,1,0,0,0,0,0,0,0,0,0
"CT",1990,1,0,0,0,0,0,0,0,0,0
"DE",1990,1,0,0,0,0,0,0,0,0,0
"FL",1990,1,0,0,0,0,0,0,0,0,0
"GA",1990,1,1,0,0,0,0,1,0,0,0
"HI",1990,1,0,0,0,0,0,0,0,0,0
"ID",1990,0,1,0,0,0,0,0,1,0,0
"IL",1990,1,0,0,0,0,0,0,0,0,0
"IN",1990,1,0,1,0,0,0,0,0,0,0
"IA",1990,1,0,0,0,0,0,0,0,0,0
"KS",1990,1,0,0,0,0,0,0,0,0,0
"KY",1990,1,0,0,0,0,0,0,0,0,0
"ME",1990,1,0,0,0,0,0,0,0,0,0
"MD",1990,1,0,1,0,0,0,0,0,0,0
"MA",1990,1,0,0,0,0,0,0,0,0,0
"MI",1990,1,0,0,0,0,0,0,0,0,0
"MN",1990,1,0,0,0,0,0,0,0,0,0
"MO",1990,1,0,0,0,0,0,0,0,0,0
"MT",1990,1,0,0,0,0,0,0,0,0,0
"NV",1990,1,0,0,0,0,0,0,0,0,0
"NH",1990,1,0,1,0,0,0,1,0,1,0
"NM",1990,1,0,0,0,0,0,0,0,0,0
"NY",1990,1,0,0,0,0,0,0,0,0,0
"NC",1990,1,0,1,0,0,0,0,0,0,0
"ND",1990,0,0,1,0,0,0,0,0,0,0
"OH",1990,1,0,0,0,0,0,0,0,0,0
"OK",1990,1,0,0,0,0,0,0,0,0,0
"OR",1990,1,0,0,0,0,0,0,0,0,0
"PA",1990,1,0,0,0,0,0,0,0,0,0
"RI",1990,1,0,0,0,0,0,0,0,0,0
"SC",1990,1,0,0,0,0,0,0,0,0,0
"SD",1990,0,0,1,0,0,0,0,0,0,0
"TN",1990,1,0,0,0,0,0,0,0,0,0
"TX",1990,1,0,0,0,0,0,0,0,0,0
"UT",1990,1,0,0,0,0,0,0,0,0,0
"VT",1990,1,0,1,0,0,0,0,0,0,0
"WA",1990,1,1,0,0,0,0,0,0,0,0
"WV",1990,1,0,1,0,0,0,0,0,0,0
"WI",1990,1,0,0,0,0,0,0,0,0,0
"WY",1990,1,0,1,0,0,0,0,0,0,0
"AL",1994,1,0,0,0,0,0,0,0,0,0
"AK",1994,1,0,0,0,0,0,0,0,0,0
"AZ",1994,0,0,1,0,0,0,0,0,0,0
"AR",1994,1,1,0,0,0,0,0,0,0,0
"CA",1994,1,0,0,0,0,0,0,0,0,0
"CO",1994,1,0,0,0,0,0,0,0,0,0
"CT",1994,1,0,0,0,0,0,0,0,0,0
"DE",1994,1,0,0,0,0,0,0,0,0,0
"FL",1994,1,0,0,0,0,0,0,0,0,0
"GA",1994,1,0,0,0,0,0,0,0,0,0
"HI",1994,1,0,0,0,0,0,0,0,0,0
"ID",1994,0,1,0,0,0,0,0,0,0,0
"IL",1994,1,0,0,0,0,0,0,0,0,0
"IN",1994,1,0,0,0,0,0,0,0,0,0
"IA",1994,1,0,0,0,0,0,0,0,0,0
"KS",1994,1,0,0,0,0,0,0,0,0,0
"KY",1994,1,0,0,0,0,0,0,0,0,0
"ME",1994,1,0,0,0,0,0,0,0,0,0
"MD",1994,1,0,1,0,0,0,0,0,0,0
"MA",1994,1,0,0,0,0,0,0,0,0,0
"MI",1994,1,0,0,0,0,0,0,0,0,0
"MN",1994,1,0,0,0,0,0,0,0,0,0
"MO",1994,1,0,0,0,0,0,0,0,0,0
"MT",1994,1,0,0,0,0,0,0,0,0,0
"NV",1994,1,0,0,0,0,0,0,0,0,0
"NH",1994,1,0,1,0,0,0,1,0,1,0
"NM",1994,1,0,0,0,0,0,0,0,0,0
"NY",1994,1,0,0,0,0,0,0,0,0,0
"NC",1994,1,0,1,0,0,0,0,0,0,0
"ND",1994,0,0,1,0,0,0,0,0,0,0
"OH",1994,1,0,0,0,0,0,0,0,0,0
"OK",1994,1,0,0,0,0,0,0,0,0,0
"OR",1994,1,0,0,0,0,0,0,0,0,0
"PA",1994,1,0,0,0,0,0,0,0,0,0
"RI",1994,1,0,0,0,0,0,0,0,0,0
"SC",1994,1,0,0,0,0,0,0,0,0,0
"SD",1994,1,0,1,0,0,0,0,0,0,0
"TN",1994,1,0,0,0,0,0,0,0,0,0
"TX",1994,1,0,0,0,0,0,0,0,0,0
"UT",1994,1,0,0,0,0,0,0,0,0,0
"VT",1994,1,0,1,0,0,0,0,0,0,0
"WA",1994,0,1,0,0,0,0,0,0,0,0
"WV",1994,1,0,1,0,0,0,0,0,0,0
"WI",1994,1,0,0,0,0,0,0,0,0,0
"WY",1994,1,0,0,0,0,0,0,0,0,0
"AL",1998,1,0,0,0,0,0,0,0,0,0
"AK",1998,1,0,0,0,0,0,0,0,0,0
"AZ",1998,0,0,1,0,0,0,0,0,0,0
"AR",1998,1,1,0,0,0,0,0,0,0,0
"CA",1998,1,0,0,0,0,0,0,0,0,0
"CO",1998,1,0,0,0,0,0,0,0,0,0
"CT",1998,1,0,0,0,0,0,0,0,0,0
"DE",1998,1,0,0,0,0,0,0,0,0,0
"FL",1998,1,0,0,0,0,0,0,0,0,0
"GA",1998,1,0,0,0,0,0,0,0,0,0
"HI",1998,1,0,0,0,0,0,0,0,0,0
"ID",1998,0,1,0,0,0,0,0,0,0,0
"IL",1998,1,0,0,0,0,0,0,0,0,0
"IN",1998,1,0,0,0,0,0,0,0,0,0
"IA",1998,1,0,0,0,0,0,0,0,0,0
"KS",1998,1,0,0,0,0,0,0,0,0,0
"KY",1998,1,0,0,0,0,0,0,0,0,0
"ME",1998,1,0,0,0,0,0,0,0,0,0
"MD",1998,1,0,1,0,0,0,0,0,0,0
